gene,rna_log2fc,rna_fdr,atac_log2fc,atac_fdr,sig_rna,sig_atac,sig_both
Nacc1,0.13010365559865053,0.8698960298862246,-0.399518959079677,0.998929231587758,False,False,False
Nfix,0.2888252096672757,0.5894558384259044,-0.169358960387535,0.998929231587758,False,False,False
Slc1a5,0.3857070870891904,0.2341039961716683,-0.745713599937004,1.0,False,False,False
Uba1,-0.012595788602118053,0.9883123425556927,-0.572206725498265,0.998929231587758,False,False,False
Vwf,-1.0968351683602482,2.652355537597341e-05,0.64800835990988,1.0,True,False,False
Esam,-1.2551063492711616,0.0010405021407905641,-0.341251961618028,0.998929231587758,True,False,False
Spa17,0.11669044734379014,0.9466594469233477,-0.0951303638965291,0.998929231587758,False,False,False
Fam50a,-0.013620316826500344,0.986364641736135,-0.180064257163796,0.998929231587758,False,False,False
Emd,-0.0855154643457706,0.9226851459346214,0.291530859504297,0.998929231587758,False,False,False
Taco1,-0.22665442450583145,0.7968770900534802,-0.46573388055328,0.998929231587758,False,False,False
Gria3,-0.38007038787043285,0.751506236157447,0.252502066601962,0.998929231587758,False,False,False
Sipa1l2,0.24603384688574248,0.8864095722401379,0.701932828716096,1.0,False,False,False
Ap4e1,0.015057636344392937,0.9905154418917023,-0.290609557622099,1.0,False,False,False
Blvra,-0.09336909012805222,0.8415437447327595,0.487309609912975,1.0,False,False,False
Pdzd4,-0.010020701991699901,0.9966145315897873,-0.166373973109964,1.0,False,False,False
Pnck,-0.50830077482413,0.8301628660696886,-0.770165724820537,1.0,False,False,False
Ssr4,-0.13698015665639093,0.7816584820212675,-0.0755963220657927,0.998929231587758,False,False,False
Fam98a,0.0937950693634635,0.8908482577807252,-0.172509140845632,0.998929231587758,False,False,False
Ltbp2,-0.32561179898124576,0.7558712138385879,-0.0558569056692866,0.998929231587758,False,False,False
Kmt2a,-0.36456024598803943,0.5755534790382635,-0.194416316523983,0.998929231587758,False,False,False
Ift46,-0.011018269612176142,0.9904860748634259,-0.120314792437707,0.998929231587758,False,False,False
Tmem25,0.03636124400109329,0.9905154418917023,-0.099262031744467,0.998929231587758,False,False,False
Trappc6a,0.17319228483180463,0.6648753464259632,-0.295826217501274,0.998929231587758,False,False,False
Supt6,-0.2938570710799421,0.5948116594611101,-0.86255884294095,0.998929231587758,False,False,False
Spag5,-0.07710331386217015,0.960721867166351,-0.397819815855211,0.998929231587758,False,False,False
Unc119,-0.5532891995430724,0.0019934701301477973,0.382204984404475,0.998929231587758,True,False,False
Ccne1,-0.00804591657578781,0.9935107190873353,-0.647124223329382,1.0,False,False,False
Bbc3,0.4023727759362961,0.3471211490604712,-0.367513804304886,0.998929231587758,False,False,False
Mybpc3,-0.4413552851096241,0.7960106025947734,0.660571280807593,0.998929231587758,False,False,False
Psmc3,0.05591862466725148,0.9131714895924187,-0.293595490598774,0.998929231587758,False,False,False
Acp2,0.04907400672262416,0.9654851357466822,-0.489505811775381,0.998929231587758,False,False,False
Slc39a13,0.35479626633080585,0.35289676483647836,-0.113790006607349,0.998929231587758,False,False,False
Ddb2,0.6105148618707537,0.041562267882885445,-0.368805307639915,0.998929231587758,True,False,False
Spi1,0.027856559006908366,0.9619495120106561,-0.237713792141861,0.998929231587758,False,False,False
Stat6,0.10940389362330878,0.8193932709588998,-0.266663523023435,1.0,False,False,False
