gene,rna_log2fc,rna_fdr,atac_log2fc,atac_fdr,sig_rna,sig_atac,sig_both
S100a3,0.8036118623881229,0.02574591293230103,-0.283218604486896,0.999987547004426,True,False,False
S100a5,0.36845899598706067,0.5349885574591267,-0.124430308963296,0.999987547004426,False,False,False
S100a6,0.5118820521811711,0.000504156239553736,0.48522233840421,0.999987547004426,True,False,False
Icam2,-0.3782337644331119,0.1308266303617558,-0.38348061149518,0.999987547004426,False,False,False
Mapk7,-0.14675321144427597,0.4239736956527194,-0.23602982813789,0.999987547004426,False,False,False
B9d1,-0.35246919427984036,0.6544055440183628,-0.420338675500856,0.999987547004426,False,False,False
Sec24b,0.14666831097656283,0.4247552073320962,0.474278964435793,0.999987547004426,False,False,False
N4bp3,-0.37718021199420676,0.18936919090098517,-0.302744967681497,0.999987547004426,False,False,False
Rmnd5b,-0.0421015746276035,0.8506625372389913,-0.198671990997422,0.999987547004426,False,False,False
Nhp2,0.1494394204208406,0.3737577166526431,-0.246046083127819,0.999987547004426,False,False,False
Zfp276,0.14869594388150711,0.6219794549679051,-0.506906358854681,0.999987547004426,False,False,False
C1ql4,0.7395527377553044,0.5295071468633328,-0.246564644377396,0.999987547004426,False,False,False
Mfsd10,0.15319634666843376,0.3691295564625711,-0.494221491514409,0.999987547004426,False,False,False
Luzp1,-0.002207996684395531,0.9941026950334206,-0.541286689356949,0.999987547004426,False,False,False
Kctd10,0.2574900961410802,0.07816551128530792,-0.769680738817184,0.999987547004426,False,False,False
Poldip2,0.26785085381165125,0.11787463667334368,-0.454550787337903,0.999987547004426,False,False,False
Lgals9,-0.7423240135703385,1.3821388226474648e-10,-0.443705295438244,0.999987547004426,True,False,False
Araf,0.12842929793258231,0.353726603799773,-0.508747696381979,0.999987547004426,False,False,False
Cfp,0.09420915861946301,0.6300613849445493,0.34762284294592,0.999987547004426,False,False,False
Uxt,0.12410314990888664,0.5197256226640846,-0.0062120904040972,0.999987547004426,False,False,False
Cnnm3,-0.15960977350279787,0.6682766427469319,-0.358867795344119,0.999987547004426,False,False,False
Lman2l,0.4209761362088701,0.0024082280490865366,-0.405918588373305,0.999987547004426,True,False,False
Mcm3ap,-0.35574063353263674,0.1596384536157247,-0.232967762540281,0.999987547004426,False,False,False
Pcnt,-0.25513990623466953,0.21285740485668556,-0.114521792071095,0.999987547004426,False,False,False
Gmcl1,0.006869246687055111,0.980348460851812,0.222724767313294,0.999987547004426,False,False,False
Snrnp27,0.21177537342786268,0.12474230188918768,0.0321986936402689,0.999987547004426,False,False,False
Oas1c,-0.9475681316574192,0.009274360674348718,-0.163908336360248,0.999987547004426,True,False,False
Ocrl,0.04535611738964845,0.9377682013922315,-0.324705211156671,0.999987547004426,False,False,False
Calm1,0.3448188738916156,0.0006403566055454971,0.855923035852736,0.999987547004426,True,False,False
Agpat3,-0.23517189940345218,0.137428652558766,0.132850537523921,0.999987547004426,False,False,False
Uhrf1,-0.3411054517097308,0.08954528513586446,-0.325246876338143,0.999987547004426,False,False,False
Dpp9,-0.10374558518970974,0.6586577689459255,-0.254334558831491,0.999987547004426,False,False,False
Lsr,0.23115945974701987,0.42367416579098005,-0.506881941875659,0.999987547004426,False,False,False
Gramd1a,0.17320627353713583,0.4160742640127581,-0.9936026544824,0.999987547004426,False,False,False
Hpn,2.5077197943655087,0.0007405988374469283,-1.2216681954253,0.999987547004426,True,False,False
Ckb,-0.22434632006703858,0.051803084417787165,-0.457276291259937,0.999987547004426,False,False,False
Sp1,-0.16250606555810476,0.5284990293978508,0.0914884241556795,0.999987547004426,False,False,False
Itgb7,-0.46172338495340065,2.736796802060617e-05,-0.454355597159357,0.999987547004426,True,False,False
Myg1,0.16882596307035894,0.30257047770673523,-0.0958109624940846,0.999987547004426,False,False,False
Rarg,0.8373766285871791,0.0034901936300325382,-0.824178357119035,0.999987547004426,True,False,False
Pfdn5,-0.026484922383298682,0.9104677433261092,-0.527443748453461,0.999987547004426,False,False,False
Efnb2,0.7718369100376901,0.137262525690554,0.060867786383378,0.999987547004426,False,False,False
Srr,-0.11099027149703965,0.800388173541262,-0.283049735666496,0.999987547004426,False,False,False
Acp5,-0.23839526023012356,0.03366856991006666,-0.0304448384847928,0.999987547004426,True,False,False
Fbxo9,0.09134780312204362,0.694423242181034,-0.172143238213346,0.999987547004426,False,False,False
Vps50,0.042271389898996634,0.8661793495971146,-0.30010757341613,0.999987547004426,False,False,False
Zmat2,0.08775402106608847,0.5730004092542467,-0.247953845266045,0.999987547004426,False,False,False
Smg5,-0.14125211726104142,0.5163209334021412,-0.287148115757615,0.999987547004426,False,False,False
Glmp,0.28535743010161946,0.017469865023227785,-0.466169789357169,0.999987547004426,True,False,False
Mef2d,0.05032834094162821,0.8061001219520707,-0.277647114911527,0.999987547004426,False,False,False
Snd1,0.1962363276944816,0.23585889835740276,0.721656932499018,0.999987547004426,False,False,False
Slc19a1,-0.11047393916426015,0.8393690363813713,-1.00490625212478,0.999987547004426,False,False,False
Kpnb1,-0.2572644588000938,0.14180894514051645,-0.204208299446277,0.999987547004426,False,False,False
Npepps,0.1235363373856815,0.5622547837939309,-0.310907415456632,0.999987547004426,False,False,False
Tbx21,0.1571394678519092,0.49307936910721,-0.178006838767103,0.999987547004426,False,False,False
Mrpl10,0.012813619212845698,0.9598015254340563,-0.490758939998264,0.999987547004426,False,False,False
Tcf25,0.15611126097653802,0.2359090416113138,-0.11687463926568,0.999987547004426,False,False,False
Tubb6,0.9846315486841929,2.911487990328982e-12,0.334228703780433,0.999987547004426,True,False,False
Def8,-0.04635417853736368,0.895404295441151,0.413365886250921,0.999987547004426,False,False,False
